Deaths,Death Rate,Age Adjusted Death Rate
2216,223.6,223.6
2267,231.39999999999998,231.39999999999998
2238,215.3,215.3
2442,228.4,228.4
2462,227.89999999999998,227.89999999999998
2217,201.1,201.1
2416,214.3,214.3
2175,189.1,189.1
